terminal_name,route_id,source,confidence
"Novaliches Bayan Terminal",JEEP-05,existing,1.00
"Novaliches Bayan Terminal",JEEP-10,existing,1.00
"Novaliches Bayan Terminal",JEEP-14,existing,1.00
"Novaliches Bayan Terminal",UV-06,existing,1.00
"Novaliches Bayan Terminal",UV-07,existing,1.00
"Novaliches Bayan Terminal",UV-08,existing,1.00
"Novaliches Bayan Terminal",UV-09,existing,1.00
"Novaliches Bayan Terminal",UV-18,existing,1.00
Sabyan,JEEP-05,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,JEEP-10,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,JEEP-14,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,UV-06,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,UV-07,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,UV-08,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,UV-09,"copied_from:Novaliches Bayan Terminal",0.50
Sabyan,UV-18,"copied_from:Novaliches Bayan Terminal",0.50
"Sangandaan Terminal",TR-02,existing,1.00
"Tala Terminal",JEEP-05,existing,1.00
"Tala Terminal",TR-03,existing,1.00
"Tala Terminal",TRI-02,existing,1.00
